epoch,epsilon,time,reward
132,0.45,1701682919.1726563,-53.04205454403985
133,0.45,1701682919.81363,-52.44221988795516
134,0.45,1701682920.4901166,-52.500977279800814
135,0.45,1701682921.1232655,-50.587677793339545
136,0.45,1701682921.7716951,-50.92179505135386
137,0.45,1701682922.5366313,-50.45170673825088
138,0.45,1701682923.2292185,-49.34178026766265
139,0.45,1701682923.9182093,-50.00943899782133
140,0.45,1701682924.5559418,-51.250572673513844
141,0.45,1701682925.2579725,-49.60203742608151
142,0.45,1701682926.0302482,-50.37446778711488
143,0.45,1701682926.7999942,-51.410765639589165
144,0.45,1701682927.4906542,-51.584434718331764
145,0.45,1701682928.1488407,-61.52277544351068
146,0.45,1701682928.8370078,-51.739798085901015
147,0.45,1701682929.5539286,-52.33954131652667
148,0.45,1701682930.2568142,-56.36533885776533
149,0.45,1701682930.9429097,-48.946693899782105
150,0.45,1701682931.7230532,-51.47269957983189
151,0.45,1701682932.5545704,-50.957754435107375
152,0.45,1701682933.4741611,-49.90820961718021
153,0.45,1701682934.3715928,-49.953632508558975
154,0.45,1701682935.2554579,-50.587391845627096
155,0.45,1701682935.945707,-51.76568860877686
156,0.45,1701682936.620131,-50.81463468720823
157,0.45,1701682937.3266528,-49.908530578898215
158,0.45,1701682938.0118601,-51.393287815126044
159,0.45,1701682938.8734953,-49.97059095860575
160,0.45,1701682939.7821422,-54.17412153750389
161,0.45,1701682940.5894213,-53.83835862122622
162,0.45,1701682941.2989135,-48.65871342981639
163,0.45,1701682941.9754615,-49.86723739495796
164,0.45,1701682942.6492434,-52.99904567382511
165,0.45,1701682943.2890747,-52.64071428571436
166,0.45,1701682944.0120056,-52.549377139744756
167,0.45,1701682944.7408655,-51.44280929038276
168,0.45,1701682945.4449754,-51.21943160597581
169,0.45,1701682946.1070952,-49.73864067849361
170,0.45,1701682946.7648535,-49.93575202303152
171,0.45,1701682947.4355142,-49.420161064425784
172,0.45,1701682948.0909376,-49.161458138811106
173,0.45,1701682948.758853,-50.889209850606896
174,0.45,1701682949.5140827,-48.13725178960479
175,0.45,1701682950.2873428,-50.065566448801704
176,0.45,1701682950.986992,-50.686528166822235
177,0.45,1701682951.7100406,-50.04464752567695
178,0.45,1701682952.4247944,-56.64508481170238
179,0.45,1701682953.0950854,-50.158503345782776
180,0.45,1701682953.7840173,-52.66524354186122
181,0.45,1701682954.5888467,-52.10618269530037
182,0.45,1701682955.280447,-49.610971833177736
183,0.45,1701682955.9942605,-49.418365624027416
184,0.45,1701682956.6460705,-52.45953236850295
185,0.45,1701682957.2841287,-51.371810613134116
186,0.45,1701682957.958998,-52.13293534080297
187,0.45,1701682958.647838,-51.30048085901026
188,0.45,1701682959.4254062,-51.030459072517935
189,0.45,1701682960.1630216,-50.769880563336464
190,0.45,1701682960.868483,-49.65637138188607
191,0.45,1701682961.5373485,-51.38600490196077
192,0.45,1701682962.5506442,-51.06724517584808
193,0.45,1701682963.7835371,-48.589759181450376
194,0.45,1701682964.4558506,-50.555994008714656
195,0.45,1701682965.1334856,-49.59403478057894
196,0.45,1701682965.8021622,-49.63402466542176
197,0.45,1701682967.1132426,-53.90357415188296
198,0.45,1701682967.789522,-50.48082282913167
199,0.405,1701682968.9582524,-50.78202886710242
200,0.405,1701682969.9498315,-50.544768129474
201,0.405,1701682970.605571,-56.50782640834106
202,0.405,1701682971.2750678,-52.263094070961664
203,0.405,1701682971.935093,-51.57797696856519
204,0.405,1701682972.6002383,-50.74119475568007
205,0.405,1701682973.258753,-49.758039604730726
206,0.405,1701682973.9891882,-49.48462846249611
207,0.405,1701682974.707588,-54.39531473700594
208,0.405,1701682975.3578362,-52.73066332088392
209,0.405,1701682976.0190406,-50.9447564581388
210,0.405,1701682976.6687477,-50.522221833177674
211,0.405,1701682977.3294523,-50.680400715841905
212,0.405,1701682977.9732344,-54.133339947089816
213,0.405,1701682978.7396991,-51.70609905073142
